video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,Ugys4pEUwOkKvUQsmYV4AaABAg,NA,@КириллДанилков-е6о,UCgYuBYg7MuO464QM7pG2aMQ,Почему не выпускают трек из прома?,ru,2025-12-08T23:07:11Z,2025-12-08 18:07:11,1,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,Ugzx7bb3MwIiNhohDq14AaABAg,NA,@Umair-o4h,UClx_JZikLV7ahgZjQorr3_Q,"Sanwal
1:01",fil,2025-12-08T20:44:09Z,2025-12-08 15:44:09,0,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,UgzTcJMPEN12bVbB9dR4AaABAg,NA,@S4iNTFNBR,UCHddUNv-Z33GQvGH9Tz76Wg,we neeed season 6 it feels so unfinished,NA,2025-12-08T05:02:44Z,2025-12-08 00:02:44,0,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,UgwqM3xbeoC42RS0PBp4AaABAg,NA,@Nate.243,UCDr3cUKlnjyXAlaPJhVJ_qw,Worst You season. Common L,NA,2025-11-25T19:00:40Z,2025-11-25 14:00:40,0,6
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,UgweduqcHo3dFM6wo0B4AaABAg,NA,@survivorturnover,UCZXrZ4PneGv18waMnA2fHoQ,just sheer savage insanity brilliance,NA,2025-11-24T19:32:09Z,2025-11-24 14:32:09,0,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,UgwXsXM4oDkEeilIx514AaABAg,NA,@AlbertoCopete-i3n,UC_FMslky4iw0YafqIXNe_KA,Sr,NA,2025-11-22T22:03:35Z,2025-11-22 17:03:35,0,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,Ugyfz9XtJOWIdMhQrL14AaABAg,NA,@vladblond,UClfsF0RxAzDPWp9HN2Hk5iQ,"Joe was given a last chance, it was with Love Quinn-She gave him herself, a completely good future with Henry, saw someone who needed her success, and gave him an advantage, allowed him to commit the murders that he was destined to be from the first season, but with his maniacal sense, he destroyed his own space and appearance on the other side of the camera and the cage, he would remain in it forever, and he would always remember, he was always in the public eye, a disgusting freak, from his mistakes, and everything would remain as a nightmare.Or, according to the stories, another fool will fall for him like Bronte, or Kate in Season 5!",en,2025-11-21T14:48:57Z,2025-11-21 09:48:57,1,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,UgwpH3snSti4yLlsrXx4AaABAg,NA,@Unstable_myndz,UCEY1EIpXbYmVh9oZyMRNTHg,The hat is a superman level identity concealer item,en,2025-11-01T20:12:19Z,2025-11-01 16:12:19,0,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,UgzmE-gaXsqa5zW6Q8B4AaABAg,NA,@DarrenHannah-g8l,UCkeKQg8z6dRxGaGrLw2VGPw,"Mm
Lolkl
E😢

R oo we",NA,2025-10-31T23:22:55Z,2025-10-31 19:22:55,0,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,4742690,112164,6186,Ugwx-BeqyHwLL2JIzmt4AaABAg,NA,@kajodmalsogan5644,UCqG3BZNdatkyP2iZmAMvNeA,😅.😅i im😅u....😅 😮.u.😅.😅 0:38 .,hr,2025-10-31T13:24:47Z,2025-10-31 09:24:47,0,0
