video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,Ugza8_uP2ICQU_-OO8B4AaABAg.AK8FVm30mQgAOkJIoa35cB,Ugza8_uP2ICQU_-OO8B4AaABAg,@DexterVaughn-qg3zf,UCyZYjqP_6AqoVYMbN8Y73BA,*LMAO KEEP BARKING 😃✨! THANKS FOR THE VIEWS BTW!*,en,2025-10-26T15:53:32Z,2025-10-26 11:53:32,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgzhUHtNLXYgWM1uCIZ4AaABAg.AJv3Wk-wXmaAK0uRcMCPHZ,UgzhUHtNLXYgWM1uCIZ4AaABAg,@lalalisa-m2u,UCapq3Vlel69yGcttiR57Q9w,Lisa's new song,NA,2025-07-01T05:16:55Z,2025-07-01 01:16:55,4
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgzhUHtNLXYgWM1uCIZ4AaABAg.AJv3Wk-wXmaAL4s4EnRmwU,UgzhUHtNLXYgWM1uCIZ4AaABAg,@takis2742,UCflu_4yZuFdJ5VquDy2jx6Q,Hot Like Me.,NA,2025-07-27T14:44:36Z,2025-07-27 10:44:36,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,Ugwj6kh-78vFcX_J6H94AaABAg.AJpQihlb_OtAJpy7JgACt_,Ugwj6kh-78vFcX_J6H94AaABAg,@nikitapatil362,UCTG36RgDu_jcrKKu3_YXhUw,Yeah..😊,NA,2025-06-26T13:58:12Z,2025-06-26 09:58:12,1
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgzIkizLQHJFse1MOKl4AaABAg.AJogamMJ5pEAJpDUu8CBEe,UgzIkizLQHJFse1MOKl4AaABAg,@phawatkandechasa1811,UC_6Oza-XzZSXtYC5Lc_Qnbw,Yes,en,2025-06-26T07:01:59Z,2025-06-26 03:01:59,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,Ugxmk2VTKAvBKyhGbPd4AaABAg.AJnkcZbHGJNAJqCurl6hwu,Ugxmk2VTKAvBKyhGbPd4AaABAg,@BeyzaNurÖztürk-q3x,UCCWpt7krFe7GP4Y0MrGxdxA,Yeah.❤❤,NA,2025-06-26T16:16:11Z,2025-06-26 12:16:11,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,Ugwe9lMrdy26YCG6vPJ4AaABAg.AJnXqacbanfAJqCW-iGBxr,Ugwe9lMrdy26YCG6vPJ4AaABAg,@BeyzaNurÖztürk-q3x,UCCWpt7krFe7GP4Y0MrGxdxA,Yes 🎉,en,2025-06-26T16:12:39Z,2025-06-26 12:12:39,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,Ugz5VgyX_mkX1yXHYWF4AaABAg.AJnW848j2KnAJnXUcZLPOu,Ugz5VgyX_mkX1yXHYWF4AaABAg,@Papaya48,UCgdsCo5HMq-b2aGiNyGg5Kg,I think something wrong with you not Netflix,en,2025-06-25T15:18:14Z,2025-06-25 11:18:14,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,Ugz5VgyX_mkX1yXHYWF4AaABAg.AJnW848j2KnAJq6eOJz9Mw,Ugz5VgyX_mkX1yXHYWF4AaABAg,@golgisworld9247,UCu6XhfKjZ4wb2lHe_12zrWA,​@Papaya48 without a Brain These are so funny stuff for you 😈,en,2025-06-26T15:21:30Z,2025-06-26 11:21:30,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJpiVqMUZJ8,UgwOoT79Zus6C6fxhJV4AaABAg,@Minnie.iconic,UCoiemXSAaKPv2Bc-S894-4A,Hii,sw,2025-06-26T11:41:45Z,2025-06-26 07:41:45,1
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJpj4uQ9W3_,UgwOoT79Zus6C6fxhJV4AaABAg,@myblinkৎ,UCin2mKClTxwPUhLdmkgozqA,​@Minnie.iconic hiii honeyyy,NA,2025-06-26T11:46:48Z,2025-06-26 07:46:48,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJpr7cR3lcy,UgwOoT79Zus6C6fxhJV4AaABAg,@lilixcore.ৎ,UCBWFVZb9T9kPwQzgP5ohBlg,YOU ARE HERE,en,2025-06-26T12:57:05Z,2025-06-26 08:57:05,1
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJprUDdAShe,UgwOoT79Zus6C6fxhJV4AaABAg,@Minnie.iconic,UCoiemXSAaKPv2Bc-S894-4A,@lilixcore.ৎwho?,en,2025-06-26T13:00:10Z,2025-06-26 09:00:10,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJprlkPj8Rg,UgwOoT79Zus6C6fxhJV4AaABAg,@lilixcore.ৎ,UCBWFVZb9T9kPwQzgP5ohBlg,​@Minnie.iconicmyblinks bestiee,NA,2025-06-26T13:02:42Z,2025-06-26 09:02:42,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJqN7OLM9WY,UgwOoT79Zus6C6fxhJV4AaABAg,@myblinkৎ,UCin2mKClTxwPUhLdmkgozqA,​@lilixcore.ৎ YESSSS LMAO,NA,2025-06-26T17:45:24Z,2025-06-26 13:45:24,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgypxoztfLRl4fxWczV4AaABAg.AJnRJzOOXSLAJnRQVc-Flg,UgypxoztfLRl4fxWczV4AaABAg,@rnel1979,UCxOgKnDsa5__q5-iin8-Ojg,Ackkk 🥳,bg-Latn,2025-06-25T14:25:15Z,2025-06-25 10:25:15,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgyAXbiBmCaJmwrQ1uV4AaABAg.AJnQ8Ty5dCCAJnmmQoum00,UgyAXbiBmCaJmwrQ1uV4AaABAg,@amymonaghan7409,UCshGaopAY5APUp8yr8Vkk2g,what if it was a song that was already on her album but people didn’t notice or will it actually be a new song hopefully it’s a new song because if one of those producers/writers that   are on her album then it’s already been released and not sure what exactly what is going to happen I mean it looks like the main point is the producers and writers but I would feel bad for both them and Lisa if the song was already on her album and it took a while for people to understand her album like it literally took till Coachella for people to get it.,en,2025-06-25T17:40:37Z,2025-06-25 13:40:37,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJnbCz7B5lo,UgxD5n6IMlfuevHTSat4AaABAg,@pirate-s9d,UCw6cKay3H7RozrGKebZ14TA,I didn't think so,cy,2025-06-25T15:59:31Z,2025-06-25 11:59:31,6
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJnd96vjyb8,UgxD5n6IMlfuevHTSat4AaABAg,,UCS8nd-41yqqr6RbNXR39zfQ,Nobody talking to haters​@pirate-s9d,en,2025-06-25T16:16:28Z,2025-06-25 12:16:28,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJngg84DlGf,UgxD5n6IMlfuevHTSat4AaABAg,@swiftiekatycatlittlemonster,UC3QbWzht0XZRNvsGl4KSh8A,I do so​@pirate-s9d,NA,2025-06-25T16:47:19Z,2025-06-25 12:47:19,0
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJnkoP3qryj,UgxD5n6IMlfuevHTSat4AaABAg,@noinazaa6185,UC1-z4ECBe_6w_gVqQmCErPQ,Can't wait!!,NA,2025-06-25T17:23:24Z,2025-06-25 13:23:24,12
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJnl892voGN,UgxD5n6IMlfuevHTSat4AaABAg,@apichaipunna8408,UCu7EB46IIxG4vtY8zi4wakQ,@pirate-s9d At least this trailer is gonna explode soon.,en,2025-06-25T17:26:14Z,2025-06-25 13:26:14,9
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJoAKoi86uK,UgxD5n6IMlfuevHTSat4AaABAg,@foreveryoung9561,UCpvg7iBS0wuh-Iu_ihJXrig,@pirate-s9d The song she sang will be a hit,en,2025-06-25T21:15:10Z,2025-06-25 17:15:10,8
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJoUOInofLf,UgxD5n6IMlfuevHTSat4AaABAg,@viewer3155,UCF_RAhb0TdQ8zpikBwiuaVg,Can’t waittttttt🎉🎉🎉,fi,2025-06-26T00:10:24Z,2025-06-25 20:10:24,6
KsrK9tdc250,Hitmakers | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-25T12:45:00Z,UgxD5n6IMlfuevHTSat4AaABAg.AJnP56V6l7vAJoVN7GcQJO,UgxD5n6IMlfuevHTSat4AaABAg,@pirate-s9d,UCw6cKay3H7RozrGKebZ14TA,No it's not ​@apichaipunna8408,NA,2025-06-26T00:18:59Z,2025-06-25 20:18:59,0
