video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,Ugza8_uP2ICQU_-OO8B4AaABAg,@donnalee8239,UCwpO_LjIR6CSd4xXvfqC1Ug,Idiots think Lisa’s gonna be n this show! SERIOUSLY?  Have any of you actually listened to ANY of her songs lyrically? Not hating on her BUT I’m pretty sure that maybe one of these “HITMAKERS” MAYBE wrote a song or two for her but there’s absolutely nothing way she’s writing any hits for anyone,en,2025-07-04T01:44:24Z,2025-07-03 21:44:24,0,1,Ugza8_uP2ICQU_-OO8B4AaABAg.AK8FVm30mQgAOkJIoa35cB,@DexterVaughn-qg3zf,UCyZYjqP_6AqoVYMbN8Y73BA,*LMAO KEEP BARKING 😃✨! THANKS FOR THE VIEWS BTW!*,en,2025-10-26T15:53:32Z,2025-10-26 11:53:32,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,UgzhUHtNLXYgWM1uCIZ4AaABAg,@giantw,UC9xvzmxK4c8u2yyMsdZfaPA,0:10 what song?,en,2025-06-28T13:30:18Z,2025-06-28 09:30:18,3,2,UgzhUHtNLXYgWM1uCIZ4AaABAg.AJv3Wk-wXmaAK0uRcMCPHZ,@lalalisa-m2u,UCapq3Vlel69yGcttiR57Q9w,Lisa's new song,NA,2025-07-01T05:16:55Z,2025-07-01 01:16:55,4,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,UgzhUHtNLXYgWM1uCIZ4AaABAg,@giantw,UC9xvzmxK4c8u2yyMsdZfaPA,0:10 what song?,en,2025-06-28T13:30:18Z,2025-06-28 09:30:18,3,2,UgzhUHtNLXYgWM1uCIZ4AaABAg.AJv3Wk-wXmaAL4s4EnRmwU,@takis2742,UCflu_4yZuFdJ5VquDy2jx6Q,Hot Like Me.,NA,2025-07-27T14:44:36Z,2025-07-27 10:44:36,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,Ugwj6kh-78vFcX_J6H94AaABAg,@suzy_zt,UCs7GHXhwmFOuXhC_veiMzJA,After going through the comments I am proud that 90% are talking about Lisa. Lalisa Manobal. You are THE IDOL.,en,2025-06-26T08:57:37Z,2025-06-26 04:57:37,1,1,Ugwj6kh-78vFcX_J6H94AaABAg.AJpQihlb_OtAJpy7JgACt_,@nikitapatil362,UCTG36RgDu_jcrKKu3_YXhUw,Yeah..😊,NA,2025-06-26T13:58:12Z,2025-06-26 09:58:12,1,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,UgzIkizLQHJFse1MOKl4AaABAg,@Pink_melody78,UC5gsMh2weMTNMqcn0SM1tug,There are 500+ comments but most of them are releted to lisa (by this we can already see how powerful lisa is),en,2025-06-26T02:05:50Z,2025-06-25 22:05:50,9,1,UgzIkizLQHJFse1MOKl4AaABAg.AJogamMJ5pEAJpDUu8CBEe,@phawatkandechasa1811,UC_6Oza-XzZSXtYC5Lc_Qnbw,Yes,en,2025-06-26T07:01:59Z,2025-06-26 03:01:59,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,Ugxmk2VTKAvBKyhGbPd4AaABAg,@DimaAlsaied,UCWmleSpqHLfM2H6nhkgR9FA,Lisa in your area 🖤💗🤞😈,en,2025-06-25T17:21:48Z,2025-06-25 13:21:48,2,1,Ugxmk2VTKAvBKyhGbPd4AaABAg.AJnkcZbHGJNAJqCurl6hwu,@BeyzaNurÖztürk-q3x,UCCWpt7krFe7GP4Y0MrGxdxA,Yeah.❤❤,NA,2025-06-26T16:16:11Z,2025-06-26 12:16:11,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,Ugwe9lMrdy26YCG6vPJ4AaABAg,@nichapatnapassaya1773,UCkvbxuRTGhxQBjpeocpLw_g,Wondering will she make a new song from this show?,en,2025-06-25T15:21:22Z,2025-06-25 11:21:22,3,1,Ugwe9lMrdy26YCG6vPJ4AaABAg.AJnXqacbanfAJqCW-iGBxr,@BeyzaNurÖztürk-q3x,UCCWpt7krFe7GP4Y0MrGxdxA,Yes 🎉,en,2025-06-26T16:12:39Z,2025-06-26 12:12:39,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,Ugz5VgyX_mkX1yXHYWF4AaABAg,@golgisworld9247,UCu6XhfKjZ4wb2lHe_12zrWA,Whats with you Netflix. These crap shows are in streaming Channels. I have delete your Service after 6 years. No more cent for you !,en,2025-06-25T15:06:25Z,2025-06-25 11:06:25,0,2,Ugz5VgyX_mkX1yXHYWF4AaABAg.AJnW848j2KnAJnXUcZLPOu,@Papaya48,UCgdsCo5HMq-b2aGiNyGg5Kg,I think something wrong with you not Netflix,en,2025-06-25T15:18:14Z,2025-06-25 11:18:14,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,Ugz5VgyX_mkX1yXHYWF4AaABAg,@golgisworld9247,UCu6XhfKjZ4wb2lHe_12zrWA,Whats with you Netflix. These crap shows are in streaming Channels. I have delete your Service after 6 years. No more cent for you !,en,2025-06-25T15:06:25Z,2025-06-25 11:06:25,0,2,Ugz5VgyX_mkX1yXHYWF4AaABAg.AJnW848j2KnAJq6eOJz9Mw,@golgisworld9247,UCu6XhfKjZ4wb2lHe_12zrWA,​@Papaya48 without a Brain These are so funny stuff for you 😈,en,2025-06-26T15:21:30Z,2025-06-26 11:21:30,0,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
KsrK9tdc250,https://www.youtube.com/watch?v=KsrK9tdc250,UgwOoT79Zus6C6fxhJV4AaABAg,@myblinkৎ,UCin2mKClTxwPUhLdmkgozqA,0:31 Our Queen is ROCKINGGG,en,2025-06-25T14:50:47Z,2025-06-25 10:50:47,52,6,UgwOoT79Zus6C6fxhJV4AaABAg.AJnULYKy-_GAJpiVqMUZJ8,@Minnie.iconic,UCoiemXSAaKPv2Bc-S894-4A,Hii,sw,2025-06-26T11:41:45Z,2025-06-26 07:41:45,1,81247,2972,726,"Wed, 17 Dec 2025 14:21:23 GMT"
