video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,Ugz9TM4hfjt9GBk_kRh4AaABAg.AMDm7qxb9-eAOz33F6_hu9,Ugz9TM4hfjt9GBk_kRh4AaABAg,@jastizmarinas3317,UCgv0Drc4KzysEMdja_WrMoA,"he's about to be Wednesday's husband in the future, after all😳",en,2025-11-01T09:20:13Z,2025-11-01 05:20:13,3
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgyUFXL7uSa-sroIL_h4AaABAg.AM9u04NDOzuAMDlwTcFl2C,UgyUFXL7uSa-sroIL_h4AaABAg,@asíuLanA,UCTpmBebiV1m2JbaWzEOuwXA,I LOVE THAT,bg,2025-08-24T22:15:32Z,2025-08-24 18:15:32,2
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgyUFXL7uSa-sroIL_h4AaABAg.AM9u04NDOzuAN3D5gehWxl,UgyUFXL7uSa-sroIL_h4AaABAg,@amalinaabdmutalib6911,UC1yBVy7G6A20Xi7Rfg7FxXQ,😏😏😏😏,ja,2025-09-14T16:21:20Z,2025-09-14 12:21:20,2
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgyUFXL7uSa-sroIL_h4AaABAg.AM9u04NDOzuAPPoSUfbZqk,UgyUFXL7uSa-sroIL_h4AaABAg,@ehhidontknow,UCWCJ9XlFX7PRuaqwMc6_s0Q,"His Uncle being Thing 😂 He’s already an Addams, just not by marriage…yet",en,2025-11-12T04:02:35Z,2025-11-11 23:02:35,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgzOz0SdDwSq-AL6Ia94AaABAg.AM8coVwtdz2AMlhQi8b4wS,UgzOz0SdDwSq-AL6Ia94AaABAg,@baransadeghi1940,UCeuqYVcnbB0E7j3VV65_1QQ,Well I guess he’s their Son-in-law now,en,2025-09-07T11:49:31Z,2025-09-07 07:49:31,12
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,Ugyv7kznUSnO92EWfXx4AaABAg.AM8X2_wY-4QAMDm0C9vPJq,Ugyv7kznUSnO92EWfXx4AaABAg,@asíuLanA,UCTpmBebiV1m2JbaWzEOuwXA,I hope so🙂‍↕️,NA,2025-08-24T22:16:10Z,2025-08-24 18:16:10,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgyCXTn3DAcTbsUxlN54AaABAg.AKWNEOfYQWPAKtTd-rzZeO,UgyCXTn3DAcTbsUxlN54AaABAg,@Nymphette_,UC6_CMWVqNdnKq0we2ZB7aGg,hopefully 🤞 he's in the Addams family sneak peak for a reason,en,2025-07-22T19:11:24Z,2025-07-22 15:11:24,1
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgwinxHNmshzDwAVhWV4AaABAg.AKO8ad-qVtiAKdD4SS87w1,UgwinxHNmshzDwAVhWV4AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,Everyone will instead boycott you for being clownish and using all caps,en,2025-07-16T11:38:54Z,2025-07-16 07:38:54,2
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgyoS9KeTH9J6PGw5Ep4AaABAg.AKHJ0NOQ6XCAKHXc6e8Ryn,UgyoS9KeTH9J6PGw5Ep4AaABAg,@Mhm-x6o,UCfa3TRLF7TJ0uG0HuVY_f3A,"She’s the wife of Zorro, ofc she can",en,2025-07-07T16:15:51Z,2025-07-07 12:15:51,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,Ugwnjk-J0rnAEyEZ6TN4AaABAg.AKACvNWbNGWAKdD9thgsjv,Ugwnjk-J0rnAEyEZ6TN4AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,"chuckle, dope",en,2025-07-16T11:39:38Z,2025-07-16 07:39:38,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgzATHRO2U9llJP7wqN4AaABAg.AJrMSicejppAKdDEFkidYQ,UgzATHRO2U9llJP7wqN4AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,look in the mirror,en,2025-07-16T11:40:14Z,2025-07-16 07:40:14,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgzATHRO2U9llJP7wqN4AaABAg.AJrMSicejppAKe9g1XmJ60,UgzATHRO2U9llJP7wqN4AaABAg,@josephwalden2058,UC6uaWYYLvWRRJD7AQ0_IVJg,"@imandan1966bitch, I saw your dad sucking me while your mom watches in tears.",en,2025-07-16T20:28:27Z,2025-07-16 16:28:27,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgzATHRO2U9llJP7wqN4AaABAg.AJrMSicejppAKfYKgu9IZO,UgzATHRO2U9llJP7wqN4AaABAg,@josephwalden2058,UC6uaWYYLvWRRJD7AQ0_IVJg,@imandan1966 bitch your dad sucked me while your mom watched in tears.,en,2025-07-17T09:23:05Z,2025-07-17 05:23:05,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgwNZ4ZsPlurh_v8NV94AaABAg.AJqKuJ7LZBNAL5iB-ezY0-,UgwNZ4ZsPlurh_v8NV94AaABAg,@opal_ediits,UCXZqp8N1WvvRG9DJLYhyI4g,he isn’t in the cast of season 2 unfortunately 😭,fy,2025-07-27T22:37:23Z,2025-07-27 18:37:23,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgxkPbtlK8Si5cfFl0N4AaABAg.AJjR7xQuGJPAKPo2Q85rmR,UgxkPbtlK8Si5cfFl0N4AaABAg,@lilsteff76,UC7tVy-TvQ0Rwha4i6Zz51VQ,No,es,2025-07-10T21:22:03Z,2025-07-10 17:22:03,2
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgxkPbtlK8Si5cfFl0N4AaABAg.AJjR7xQuGJPAKdDHBe6JsM,UgxkPbtlK8Si5cfFl0N4AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,incorrect,NA,2025-07-16T11:40:38Z,2025-07-16 07:40:38,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgwBvAePWU9Dzf5IJVl4AaABAg.AJX7rHUqvmCAKdDK6Rtm0e,UgwBvAePWU9Dzf5IJVl4AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,Depp is a fossil by now,en,2025-07-16T11:41:02Z,2025-07-16 07:41:02,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgwweZggQKjFdc87V454AaABAg.AJLfrQYMe3uAJUabQGrJ4E,UgwweZggQKjFdc87V454AaABAg,@cebisamhlaba6080,UCP3UJlyfLiHsUF-sgJLETOQ,Because we have a data plan and a Netflix subscription all paid for by us...any other question?,en,2025-06-17T21:29:27Z,2025-06-17 17:29:27,1
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgwweZggQKjFdc87V454AaABAg.AJLfrQYMe3uAKdDNG6cKfH,UgwweZggQKjFdc87V454AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,because people like you don't like it,en,2025-07-16T11:41:28Z,2025-07-16 07:41:28,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgzD52cphxIYFjPk53d4AaABAg.AJ3yyyNabZLAKtThNtES1S,UgzD52cphxIYFjPk53d4AaABAg,@Nymphette_,UC6_CMWVqNdnKq0we2ZB7aGg,RIGHT,NA,2025-07-22T19:12:00Z,2025-07-22 15:12:00,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgwuDN36ba-WyTomJj14AaABAg.AJ13kISfsqUAKdDSR0sS46,UgwuDN36ba-WyTomJj14AaABAg,@imandan1966,UCs_sGIlaFBUkprvw3LTiDyw,nobody cares,sr,2025-07-16T11:42:10Z,2025-07-16 07:42:10,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgxRlPieMvZGS7dMQyd4AaABAg.AIyRXiS1xs1AJ7ygzPO_cz,UgxRlPieMvZGS7dMQyd4AaABAg,@timrodgers-wilson7201,UCMTX2wzw7O_QZ98wUI_dgjg,I hope so,ig,2025-06-09T02:37:23Z,2025-06-08 22:37:23,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgxRlPieMvZGS7dMQyd4AaABAg.AIyRXiS1xs1AJ8A8HkhlMu,UgxRlPieMvZGS7dMQyd4AaABAg,@s1udontknowexist,UC32aSqNcYO8quUhT-c35_dA,yes,en,2025-06-09T04:26:06Z,2025-06-09 00:26:06,0
XWQlSo6eBNw,Wednesday: Season 2 | Sneak Peek: Addams Family | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-20T13:00:00Z,UgxnSsVl60pYRTxdXKJ4AaABAg.AIxp60uK-nNAJMcOrCYGIM,UgxnSsVl60pYRTxdXKJ4AaABAg,@juliemcgugan1244,UC1QYobR6LKZKFDW7cSQDeEg,Love this addition!  Wonder if Jennifer (Saunders) will ever get a sneaky role?,en,2025-06-14T19:11:09Z,2025-06-14 15:11:09,0
