video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,UgzJuzDQEkO_LgypnRt4AaABAg,NA,@okthennone,UCxIIT_zfblljDCaALa52Gbw,Great original trailer.,id,2025-12-14T04:10:41Z,2025-12-13 23:10:41,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,Ugys9eUyx2HVUJ031nB4AaABAg,NA,@Freebird6969,UCpsh9zJcWHG655xyQj10-Hw,What a horrible boring politic movie. The whole thing is just politics and government nothing even happens in the movie. And the ending sucks. And given this a thumbs down and a 4 out of 10,en,2025-12-10T03:51:51Z,2025-12-09 22:51:51,1,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,UgzYWEg1qPqooKpHZoh4AaABAg,NA,@Danino1111,UC9YHLr7G_JG89dWreiaiFkg,Another girl boss?,NA,2025-12-09T03:23:20Z,2025-12-08 22:23:20,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,Ugx7w7mslNz8U6aLadZ4AaABAg,NA,@mugshotmarley,UCgqDCE-0PTabtBU8hIHhJQQ,"I will never watch another movie directed and/or written by either of these people.  It had so much potential to be a great movie and it ended in the worst possible way.  If people knew there wasn't going to be an ending, no one would've watched it!",en,2025-12-07T10:17:20Z,2025-12-07 05:17:20,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,UgyptZ3kVL369SLBDhh4AaABAg,NA,@TalonsOfFire,UCzdhyRRU8vKcA8t7FRcXztQ,What a crock!,NA,2025-11-30T16:32:35Z,2025-11-30 11:32:35,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,UgwLKgcwCnugO6L4Obx4AaABAg,NA,@iqbalsanur,UCj9mobtKOJl9bR9Rz5CZDCA,Can anybody who actually like and enjoy this movie shows up? I feel very lonely right now... Haha.,en,2025-11-24T23:35:16Z,2025-11-24 18:35:16,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,Ugydpa39wNDq-z-t7Ut4AaABAg,NA,@akotr3mor,UCDpGKA7jQ2h6GdmwU4uSdgg,"the most overhyped, idiotic movie ever. I'm talking Battlefield: Earth levels of bad - deserving of a Razzie bad...I hope everyone involves get embolisms bad",en,2025-11-24T18:17:49Z,2025-11-24 13:17:49,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,UgziW5NKdO8vPkv_jIJ4AaABAg,NA,@marinayou2001,UC9mpX-d56QndKjsCEGkd6Jw,"Damn I wish I had read some of these comments before wasting 2 hours watching BS!!! Boring, no flow, no direction and a bunch of nonsense with as they said no ending, no conclusion!!!",en,2025-11-24T16:42:31Z,2025-11-24 11:42:31,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,UgzDD62VYKvm9zGWUpB4AaABAg,NA,@Dzafer7875,UCPuUE7rRXlZ3WRMqRFLpqvg,Worst ending ever. Do not watch this movie.,en,2025-11-23T22:25:41Z,2025-11-23 17:25:41,0,0
0w6wUqWU3yU,A HOUSE OF DYNAMITE | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-03T13:15:00Z,10421709,36959,1997,Ugyo29uro7U6cebcqcl4AaABAg,NA,@msagoo29,UC5wG0EX8yYlSg_iJ53YYsZg,"The worst film I’ve ever seen, a complete borefest. Directed by Bigelow of course, so no surprises why it’s rubbish. She needs to stand down from directing and leave it to the professionals",en,2025-11-23T21:17:31Z,2025-11-23 16:17:31,0,0
