video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,Ugxfg-ShfeIpBMJMiul4AaABAg.ANfeFMD_GsQANtXsgjpjfA,Ugxfg-ShfeIpBMJMiul4AaABAg,@앵생응-n4e,UCJOfEj-t_vG8ykZMeIeIocg,The title of the song is Wild story's Finding my way. But this song is only available on Apple Music,en,2025-10-05T09:22:41Z,2025-10-05 05:22:41,2
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,Ugxfg-ShfeIpBMJMiul4AaABAg.ANfeFMD_GsQANtlkNe30FJ,Ugxfg-ShfeIpBMJMiul4AaABAg,@AnyOtherNamePlease,UCJ1hzFUFQ8SZdyceqrEF0WQ,​@앵생응-n4e Thank you!,ko,2025-10-05T11:32:37Z,2025-10-05 07:32:37,1
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,Ugxfh1gR6LOf8QSBGY54AaABAg.AMqO69CesxzANnzL-8iHGy,Ugxfh1gR6LOf8QSBGY54AaABAg,@lakeshow-vq1rm,UC40-O46nMyqicOC7Zn9ANFw,I know she can’t be trusted(Jackie) she’s Paige 2.0 at this point with the double down of stepping on Alex heart. What’s the point of trashing the main characte? Where is her redemption arc?? It’s definitely not getting with Cole the brother she cheats on Alex with. I understand she’s going through a lot but that’s not an excuse for how she’s treating Alex,en,2025-10-03T05:35:54Z,2025-10-03 01:35:54,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,UgwRnugVA12mGG32BV94AaABAg.AMbXKxmYa3TAMfT0RVjEDr,UgwRnugVA12mGG32BV94AaABAg,@munamohammed5526,UCBSvwK8ERTuDiEwAmE1RF1Q,👌😢,ja,2025-09-05T01:39:25Z,2025-09-04 21:39:25,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,Ugy5ZEatXAre9iDqh6l4AaABAg.AM_PDuzh7TTAMfT8h2C8nR,Ugy5ZEatXAre9iDqh6l4AaABAg,@munamohammed5526,UCBSvwK8ERTuDiEwAmE1RF1Q,👌,ja,2025-09-05T01:40:33Z,2025-09-04 21:40:33,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,UgyJL5PwF4eKpobuCF14AaABAg.AMZ-r-eXpB1AMfTJ3uSV5O,UgyJL5PwF4eKpobuCF14AaABAg,@munamohammed5526,UCBSvwK8ERTuDiEwAmE1RF1Q,me to,en,2025-09-05T01:41:58Z,2025-09-04 21:41:58,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,UgydAgL_RlrKv6pkbcl4AaABAg.AMY0Bs2kT0MAMfTUQnpq44,UgydAgL_RlrKv6pkbcl4AaABAg,@munamohammed5526,UCBSvwK8ERTuDiEwAmE1RF1Q,me to,en,2025-09-05T01:43:31Z,2025-09-04 21:43:31,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,Ugw4toNm6isKMV3pDst4AaABAg.AMUUbnEnpMQAMVvKIuBLJN,Ugw4toNm6isKMV3pDst4AaABAg,@dustinsmitty7728,UCGKiAlzl_a6nQJ0SGtZAsbg,Why???,en,2025-08-31T23:23:53Z,2025-08-31 19:23:53,1
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,UgyfPYR0md6JLHHmskt4AaABAg.AMU7S9YJ7OQAMUBCGNasAJ,UgyfPYR0md6JLHHmskt4AaABAg,@jord1215,UCOCJArilLJzfQmq-fpyIxQw,Cliff hanger she’s a hoe,NA,2025-08-31T07:12:52Z,2025-08-31 03:12:52,1
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,UgyOLstmI5tTOJiGMWR4AaABAg.AMU-QVPSz0aANo0LV4PixU,UgyOLstmI5tTOJiGMWR4AaABAg,@lakeshow-vq1rm,UC40-O46nMyqicOC7Zn9ANFw,"You’re the only person that gets how a real love story is suppose to go. She has more in common with Alex. Cole is just a forbidden desire that she thinks she wants. Yeah it looks and feel right but everything that looks and feels good doesn’t mean it’s good for you. I hope she doesn’t become deceived by things like seduction, passion, chemistry as pillars for a relationship. Alex has the right qualities like trust, honesty, loyalty, protector and most importantly true love. She just has to love him back. They are perfect for each other if she isn’t distracted by Cole",en,2025-10-03T05:53:27Z,2025-10-03 01:53:27,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,Ugw-Pd2Faf0n6oCuFK14AaABAg.AMPkgXrGRI5AMQ3_YNvdO6,Ugw-Pd2Faf0n6oCuFK14AaABAg,@forevercgbm9788,UCj1WjPmzNRDOf3SGwl95abw,"Finding My Way by Wild Story, but the song Is not in YouTube or Spotify, Is no the instagram of WildStory",en,2025-08-29T16:49:19Z,2025-08-29 12:49:19,0
