video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,Ugw3x3Qmrm5ngd53brR4AaABAg,NA,@sonu7979,UCxGUTPx_qVowurtYdNfMP_Q,"Like really .? Are these teen gals losing their freaking mind , or in their menopause confusing every boy around .? Alex was in his own world , but Miss Jackie decides to break the ice , and then at the end she loves Cole , what the hell.? Poor Alex ,",en,2025-09-02T18:54:30Z,2025-09-02 14:54:30,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,Ugwm_sWanhEGhSQfSDt4AaABAg,NA,@ronisdeer27,UCCgG8WlGqpJzPhcZ-0tzSag,harika beğendim,NA,2025-09-01T18:38:50Z,2025-09-01 14:38:50,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgxxUNs2XdEOiE7ODCx4AaABAg,NA,@AlbertoQuijije-e5o,UCeiWxb9OEvI0R5TwryvWCfQ,16,ja,2025-08-31T00:04:54Z,2025-08-30 20:04:54,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgwbIAY1PntQLjsMGnB4AaABAg,NA,@kathrynedwards366,UC5Q1g1xObdcTnPBWP0JoV5w,"Really looking forward to a new season tomorrow. The first season loosely followed the book. She ended up with Cole in the book, with Alex understanding. I hope to see that she does, as her ❤️ was always with Cole. I would not be happy if it takes the course of her ending up without Cole because there were deep feelings between them and that needs to be explored further.",en,2025-08-27T17:33:01Z,2025-08-27 13:33:01,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgyuM34zmYvK3EX2Cv54AaABAg,NA,@MaureenOrjime,UC6okPfYlIOyAtjw-MeyKziw,I pray alex moves on from Jackie he deserves sommuch more,en,2025-08-27T16:19:56Z,2025-08-27 12:19:56,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgypXmyR7fl9Ax7EsQB4AaABAg,NA,@J0hn.wh0-t8k,UC8ATqejUOeTxGpT8A6jH-bA,Song name ?,NA,2025-08-27T12:33:46Z,2025-08-27 08:33:46,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,Ugz-L1KYB2GePzN0USx4AaABAg,NA,@LiaBhaavikaBatra,UCqlvo6hda7zJWqkW-ZfuWaA,0:14 is the best look ever omg,en,2025-08-27T11:51:26Z,2025-08-27 07:51:26,2,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgzdsNvvoVRHOtKPw2R4AaABAg,NA,@itad2532,UCHKIaucGIUE_erJYp4UD0PQ,Im sorry but whats with Coles hair? 😵😬,en,2025-08-23T16:49:32Z,2025-08-23 12:49:32,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgwUTHfcwRH2SsDxguh4AaABAg,NA,@AnushkaGhatage-s9j,UCSlEJTitD_RfpU8kWyPLTAg,I love alex and jakie as a couple he looks way more mature now ❤,en,2025-08-21T14:08:25Z,2025-08-21 10:08:25,0,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,UgwOdjs4RmMqr6iLVK54AaABAg,NA,@SigmaRxH,UCuW_qYMVwd3X7IgmPTz2KYQ,Background song name plz,en,2025-08-14T22:58:52Z,2025-08-14 18:58:52,1,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,1582877,25111,1213,Ugz1RrfqKkmKS0czFnV4AaABAg,NA,@latorrawroten8718,UCpNaO3yEnxrQgq0I2KHWxqg,I already can’t stand the whole Jackie /cole crap … I’m team Alex,en,2025-08-13T05:42:51Z,2025-08-13 01:42:51,0,0
