video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,Ugwxf-NSxZLfzrTnBaB4AaABAg.AL8N6I01bMOAL9bYc4S1vl,Ugwxf-NSxZLfzrTnBaB4AaABAg,@TOXICDREAMS67,UCA8kN6OdYjfaYyKiHW5-bPQ,And why not?! He is a charming and single young man who can  do and date whomever he chooses,en,2025-07-29T10:56:24Z,2025-07-29 06:56:24,1
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,Ugwxf-NSxZLfzrTnBaB4AaABAg.AL8N6I01bMOALCc6wSKRZ2,Ugwxf-NSxZLfzrTnBaB4AaABAg,@lucidandthebear,UCQdsxrcJCufsahWft5qyopQ,EXACTLYYY👏👏👏,hu,2025-07-30T14:59:05Z,2025-07-30 10:59:05,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgygkH_QO1YHOnmbD5R4AaABAg.AL5gP0T28-HAL6-qol8e4y,UgygkH_QO1YHOnmbD5R4AaABAg,@ThodsawatKhajornwong,UC5cq2ceuuM2JO40RqxhrynQ,Mee too,mi,2025-07-28T01:20:31Z,2025-07-27 21:20:31,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgxVnVTfj7oJ0pR_VbF4AaABAg.AL0Ip81StBYAL9GdHoMlo5,UgxVnVTfj7oJ0pR_VbF4AaABAg,@remyxsnc,UCqOT_YrPNnCsm5-BGlqX7ag,Nah I think the opposite and she just ruined it all by cheating on him with Cole 🤦‍♀️,en,2025-07-29T07:44:56Z,2025-07-29 03:44:56,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgxVnVTfj7oJ0pR_VbF4AaABAg.AL0Ip81StBYAL9LKLMHDei,UgxVnVTfj7oJ0pR_VbF4AaABAg,@everafter_dreams,UC0nHxhoLJwI-wg11IArZVXA,"​@remyxsnc it was cole from the beginning if you ever notice whenever they talk the bgm , slow motion thing, eye gazing etc. And it's totally different with Alex  ....otherwise the directors would never made her kiss Cole and just end it",en,2025-07-29T08:25:54Z,2025-07-29 04:25:54,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgxVnVTfj7oJ0pR_VbF4AaABAg.AL0Ip81StBYAL9LjEvMXor,UgxVnVTfj7oJ0pR_VbF4AaABAg,@remyxsnc,UCqOT_YrPNnCsm5-BGlqX7ag,@everafter_dreams whatever u say I just don’t agree and I think that jakie and Alex are better. But it’s ur opinion ig.,en,2025-07-29T08:29:26Z,2025-07-29 04:29:26,1
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgxVnVTfj7oJ0pR_VbF4AaABAg.AL0Ip81StBYAL9_oaYGGNW,UgxVnVTfj7oJ0pR_VbF4AaABAg,@everafter_dreams,UC0nHxhoLJwI-wg11IArZVXA,​@remyxsnc Everyone sees things differently and I respect that but I’m not just stating a ship I’m explaining why it matters that tea pot was precious to Jackie it held memories of her sister and her connection with her family. Now that they’re gone the few things left behind are incredibly important to her she didn’t just go there and kiss Cole out of nowhere  it wasn’t about romance it was about emotion,en,2025-07-29T10:41:14Z,2025-07-29 06:41:14,1
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgxVnVTfj7oJ0pR_VbF4AaABAg.AL0Ip81StBYAL9aH_BrkJ8,UgxVnVTfj7oJ0pR_VbF4AaABAg,@remyxsnc,UCqOT_YrPNnCsm5-BGlqX7ag,@everafter_dreams oh ok. Well yeah I I understand. I just still ship Jackie and Alex and stand by my opinions but u can ship whatever u want :),en,2025-07-29T10:45:20Z,2025-07-29 06:45:20,0
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgzwN9zfuJOBjtOhU4B4AaABAg.AKr5zUxudenAKsjZDcawHv,UgzwN9zfuJOBjtOhU4B4AaABAg,@TOXICDREAMS67,UCA8kN6OdYjfaYyKiHW5-bPQ,Ha!! Cole is still the heinous and disloyal twit as he was before,en,2025-07-22T12:20:03Z,2025-07-22 08:20:03,1
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgzwN9zfuJOBjtOhU4B4AaABAg.AKr5zUxudenAKslfJiSxs0,UgzwN9zfuJOBjtOhU4B4AaABAg,@TOXICDREAMS67,UCA8kN6OdYjfaYyKiHW5-bPQ,Ha !! Cole has not changed at all,en,2025-07-22T12:38:30Z,2025-07-22 08:38:30,1
rT_vcRzG3aw,My Life With the Walter Boys: Season 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T16:00:00Z,UgxtF9zycoeqnd97NHh4AaABAg.AKpnPFeQDBRAKu8j8jk7dc,UgxtF9zycoeqnd97NHh4AaABAg,@dustinsmitty7728,UCGKiAlzl_a6nQJ0SGtZAsbg,Team Alex ❤❤❤❤❤❤❤❤❤,NA,2025-07-23T01:27:59Z,2025-07-22 21:27:59,1
