video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,Ugxi0I26O5WhyQ7c7LZ4AaABAg.AO14gKpScqOAO1A4osK7vD,Ugxi0I26O5WhyQ7c7LZ4AaABAg,@TRAVELERS.STORIES123,UCenVWd4NWUyMr2H1z0NhaYA,Netmirror,NA,2025-10-08T17:47:55Z,2025-10-08 13:47:55,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,Ugxi0I26O5WhyQ7c7LZ4AaABAg.AO14gKpScqOAOABdNo7DB_,Ugxi0I26O5WhyQ7c7LZ4AaABAg,@antaramishra9831,UCc6OOhWZ8wBPmLOiMR8jnJw,Filmy4wap(free download),fy,2025-10-12T05:54:41Z,2025-10-12 01:54:41,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgwQiNnyjvU-xsHxqt94AaABAg.ANuU72Kil2WAO0YBYLHBqB,UgwQiNnyjvU-xsHxqt94AaABAg,@serene_111,UCD6itmb9LCP94KDPz3Wz7Kg,I smell gobar 😅,no,2025-10-08T11:59:19Z,2025-10-08 07:59:19,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgyRbttkMejHsrh2qut4AaABAg.ANjWzQbT_dLAOABoZ_-1VI,UgyRbttkMejHsrh2qut4AaABAg,@antaramishra9831,UCc6OOhWZ8wBPmLOiMR8jnJw,Netflix app,NA,2025-10-12T05:56:12Z,2025-10-12 01:56:12,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgwMcGPAvdE0mDhLesV4AaABAg.ANaUh_Qoo9mANarPT9Wddu,UgwMcGPAvdE0mDhLesV4AaABAg,@EXPFF11,UCKcU3Ye_EOZgqSHvam-fDKg,Bhai tu jakar 90's ki Film dekh ye tere liye nahi Thaa 😂😂,hi-Latn,2025-09-28T03:16:29Z,2025-09-27 23:16:29,1
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgyY_ct1rM4vEWWLk0Z4AaABAg.ANMsrjQiLn7ANMzgDDUxvb,UgyY_ct1rM4vEWWLk0Z4AaABAg,@Kaisan__v90,UC8EVsgffr4SrbXFCovHUs9g,Chal be chutiye,ku,2025-09-22T08:40:12Z,2025-09-22 04:40:12,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgzZBBjHM6g5gnViCiZ4AaABAg.ANIrS-II-ggANK1_bBuCCd,UgzZBBjHM6g5gnViCiZ4AaABAg,@Vinaysamraat,UCcIB6F9SF--aUK3VqLuJikg,Kapoor 😂😂,nl,2025-09-21T05:07:47Z,2025-09-21 01:07:47,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgwJP_rErIWCGD5WFcx4AaABAg.ANIN0zx3vWHANMpCJ8H7e1,UgwJP_rErIWCGD5WFcx4AaABAg,@imranrashid1341,UCirumQOiQnFH9yufmTELh6Q,Right,NA,2025-09-22T07:08:36Z,2025-09-22 03:08:36,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,Ugy9rOGMAz-GIJV6rtV4AaABAg.ANEz-TieuIeANHvrum1HO1,Ugy9rOGMAz-GIJV6rtV4AaABAg,@THEMASKSINGER-vc6nh,UC9Eek0L0JyWJoibxXs-XEfQ,😂😂😂😂,ja,2025-09-20T09:30:39Z,2025-09-20 05:30:39,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,Ugzf7mZOlYMM1wsGsgF4AaABAg.ANE0GIqUsNcANHvvvQ6SAC,Ugzf7mZOlYMM1wsGsgF4AaABAg,@THEMASKSINGER-vc6nh,UC9Eek0L0JyWJoibxXs-XEfQ,Woh toh aayega hi toxic industry jo hai 😂😂😂😂,NA,2025-09-20T09:31:11Z,2025-09-20 05:31:11,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgzixWRvz7-duWkIyB94AaABAg.ANB7OW7gIlXANBWVTsxOD0,UgzixWRvz7-duWkIyB94AaABAg,@arbuuu_status_88,UCFpKVgw7ib6SY_lPXxredXg,Aya kya bhai?,hi-Latn,2025-09-17T21:44:48Z,2025-09-17 17:44:48,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgzixWRvz7-duWkIyB94AaABAg.ANB7OW7gIlXANBrABWYo49,UgzixWRvz7-duWkIyB94AaABAg,@bacebharathacademyofcollab4233,UC91cDKcjfRxGH622Pr6qD7w,​@arbuuu_status_88Nahi bhai,hi-Latn,2025-09-18T00:54:08Z,2025-09-17 20:54:08,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgzixWRvz7-duWkIyB94AaABAg.ANB7OW7gIlXANBrCfZ-Mmd,UgzixWRvz7-duWkIyB94AaABAg,@bacebharathacademyofcollab4233,UC91cDKcjfRxGH622Pr6qD7w,​@arbuuu_status_88 Pata nahi kyun,NA,2025-09-18T00:54:29Z,2025-09-17 20:54:29,0
dOZTeEG3yBQ,"The Ba***ds Of Bollywood | Official Trailer | Aryan Khan | Bobby D, Lakshya, Raghav, Sahher",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-08T09:30:00Z,UgzixWRvz7-duWkIyB94AaABAg.ANB7OW7gIlXANCPA7pipjo,UgzixWRvz7-duWkIyB94AaABAg,@mindflayer74,UCbb0D8rxP9bG2K6fn4-km2g,Are bhai abhi aayega 1 ghante baad! 12:30 pm par!!😂,ga,2025-09-18T05:59:58Z,2025-09-18 01:59:58,0
