timestamp,event_name,user_id,post_id,reply_to_post_id,reply_depth,comment_sentiment,reply_sentiment,topic_similarity,topic_entropy,platform,source_type,is_elite_source,cluster_id
2025-12-07 20:03:12+00:00,EPL Match,@michaellala5578,Ugy_UWqmEo2WLLwVX_94AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 23:02:18+00:00,EPL Match,@abadbacknine,Ugxt72RgaU5fP_EV3Fx4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 07:39:26+00:00,EPL Match,@kirttrinidad8102,UgwokqDbAL-YdbBWTRp4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 06:47:54+00:00,EPL Match,@qooooe,Ugw1kjwNwyu45CR-CH54AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 06:03:18+00:00,EPL Match,@Robertinho_546,UgwZgyOuCyzXU-Couf94AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 05:35:55+00:00,EPL Match,@danielkohler3458,Ugx3ARLFlBpb9uM-mXN4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 05:18:34+00:00,EPL Match,@Zapp77777,UgyqDUFaKT7HZd19sMN4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 03:35:54+00:00,EPL Match,@socc4r137,UgwzH9GgXjbKQVyPoVJ4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 03:23:47+00:00,EPL Match,@trimotionmedia5487,Ugwuw15NBD0OcqL28GN4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 01:42:50+00:00,EPL Match,@josuegomez4540,UgyBtJniEspWkPnSzG94AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 00:19:02+00:00,EPL Match,@howardomil1183,UgynREzzzSN8hiiQuih4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-02 00:17:37+00:00,EPL Match,@howardomil1183,Ugwo2Noty1jSA-F7v8h4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 23:13:07+00:00,EPL Match,@JervonteWiggins,UgzpQpqFbp8jDjBS0h14AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 22:18:32+00:00,EPL Match,@Aliyihasan-i2v,UgxTRPP0rbfnDyVBLER4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 21:00:07+00:00,EPL Match,@mikebutcher2695,Ugz90KmKcv8IQWxIlqR4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 20:57:00+00:00,EPL Match,@ToddCrispies,UgyMpC3tVwWMHvdq8NR4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 20:32:59+00:00,EPL Match,@vb-wd3wy,UgwahQOazHiQIiPitul4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 19:59:28+00:00,EPL Match,@tyellgustavson,Ugyc-2ym2KmHbCV4k_N4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 19:17:50+00:00,EPL Match,@revealer-og,UgzxQ7RW6Hx4kBLGgCh4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 18:48:12+00:00,EPL Match,@GuySenseiparody,UgwyePuVqn55Q_AjeEx4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 18:30:42+00:00,EPL Match,@JoshuaPerez-ys7cy,UgzgeBzBvwrTgf5EVal4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 18:22:05+00:00,EPL Match,@broccolee4328,UgyeGtz8JGizmhLDTJN4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 18:18:44+00:00,EPL Match,@daconnoisseurrex1752,UgxNU6eiq1-x0JzcW6V4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 17:56:34+00:00,EPL Match,@theyayaa,UgzQ10iJLADM-KEHQRl4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 17:36:43+00:00,EPL Match,@Darth1182,UgwE2yzD0e3LniwmUpd4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 17:34:10+00:00,EPL Match,@MadeinHaleEnd1991,Ugxs0Ffth_YtyRvg6YB4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 17:11:52+00:00,EPL Match,@racheldave6405,Ugy3U61d3IDJurWdgzt4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 16:47:55+00:00,EPL Match,@croopydoot,UgzbMSeixMelJcuPd054AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 16:42:25+00:00,EPL Match,@caiobotelho5884,UgzrxSR_tpakycHwg-J4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 15:53:26+00:00,EPL Match,@pc-vu7er,UgzlGoYnKU29tU_Yx554AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 15:28:36+00:00,EPL Match,@df4291,UgwGZS_GU_Ft7-5n-C94AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 14:48:28+00:00,EPL Match,@crnked,UgxI3-C79QFV8QSYYct4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 14:44:44+00:00,EPL Match,@MargaretMoorer-u1s,UgzgRgXqgvhtLIOYpqF4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 14:25:44+00:00,EPL Match,@tiktokviralmemes7040,Ugyh4jVBQr7nE5ZzmNh4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 12:57:57+00:00,EPL Match,@ia5263,UgxAZIvhWqSNW4bU3KJ4AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
2025-12-01 12:18:48+00:00,EPL Match,@TheVerbalAxiom,UgzI8wYjVz7-fS7gCC14AaABAg,,0,0.0,0.0,0.5,0.5,YouTube,public,0,Cluster 1
