video_id,date,comments,replies,users,avg_reply_depth,volume_total,reply_ratio,bridging,centralization,modularity,replies_volatility,reply_ratio_volatility,bridging_volatility,centralization_volatility,activity_level,perspective_proxy,network_level,temporal_instability,layer_divergence,reply_ratio_lead,bridging_lead,centralization_lead,modularity_lead,temporal_instability_lead,activity_level_lead,network_level_lead,fragmentation_next,entrenchment_next,rebound_next
0_cn6t2zrnY,2025-11-30 00:00:00+00:00,249,185,336,0.42626728110599077,434,0.7429718875502008,0.0010365197111108272,0.0,0.8048327737603305,0.0,0.0,0.0,0.0,2.9048828011746943,2.170107355795201,-0.9734617420811507,-0.32716305613430496,2.9133873769467598,0.3391304347826087,1.1662830609555305e-05,0.0,0.9309664694280076,-0.32716305613430496,0.9823710975175115,-1.1660622089479953,0,0,0
0_cn6t2zrnY,2025-12-01 00:00:00+00:00,115,39,137,0.2532467532467532,154,0.3391304347826087,1.1662830609555305e-05,0.0,0.9309664694280076,0.0,0.0,0.0,0.0,0.9823710975175115,0.9315275668522442,-1.1660622089479953,-0.32716305613430496,1.733804449227432,0.6363636363636364,0.0005847953216374269,0.0,0.7755102040816326,1.4305798662346836,0.9728724766014089,-0.9413036944104692,0,0,0
0_cn6t2zrnY,2025-12-02 00:00:00+00:00,11,7,15,0.3888888888888889,18,0.6363636363636364,0.0005847953216374269,0.0,0.7755102040816326,94.88940931421166,0.20928481961058268,0.0005136255772816952,0.0,0.9728724766014089,1.8662544041239761,-0.9413036944104692,1.4305798662346836,2.028512111437016,0.0,0.0,0.0,0.0,1.461516873957947,-0.2900636340151073,0.11695596481181773,1,1,0
0_cn6t2zrnY,2025-12-04 00:00:00+00:00,0,1,1,1.0,1,0.0,0.0,0.0,0.0,86.29407086623429,0.3335136390874573,0.0004999468391052401,0.0,-0.2900636340151073,2.376663544796639,0.11695596481181773,1.461516873957947,2.0316969218761725,0.0,0.0,0.0,0.0,1.3672269873715392,-0.2900636340151073,0.11695596481181773,1,1,0
0_cn6t2zrnY,2025-12-07 00:00:00+00:00,1,0,1,0.0,1,0.0,0.0,0.0,0.0,79.10625765386706,0.3468970686428472,0.0004698859864118088,0.0,-0.2900636340151073,-0.40933458228989394,0.11695596481181773,1.3672269873715392,0.3902444758952251,,,,,,,,0,0,0
144rXJtE1gI,2025-12-27 00:00:00+00:00,96,55,125,0.36423841059602646,151,0.5729166666666666,0.001817991083136638,0.0,0.7599000384467514,0.0,0.0,0.0,0.0,1.4078469758157732,1.6787184958757853,-0.8972378707864422,-0.32716305613430496,2.0018606955665392,0.7894736842105263,0.00021450021450021448,0.0,0.8775510204081634,-0.32716305613430496,1.3263310945570395,-1.0887262040588068,0,0,0
144rXJtE1gI,2025-12-28 00:00:00+00:00,19,15,27,0.4411764705882353,34,0.7894736842105263,0.00021450021450021448,0.0,0.8775510204081634,0.0,0.0,0.0,0.0,1.3263310945570395,2.2987594535480076,-1.0887262040588068,-0.32716305613430496,2.4666561542203516,,,,,,,,0,0,0
1bH6fo1Qq5E,2025-10-25 00:00:00+00:00,153,56,171,0.2679425837320574,209,0.3660130718954248,0.0007698210603664282,0.0,0.6630473478106089,0.0,0.0,0.0,0.0,1.2617614432065913,1.0228312795698369,-0.7829032381678025,-0.32716305613430496,1.5809721092737556,0.21463815789473684,9.317877152211915e-06,0.0,0.9435108070592902,-0.32716305613430496,6.258343900493806,-1.1833960295756603,0,0,0
1bH6fo1Qq5E,2025-10-26 00:00:00+00:00,1216,261,1310,0.17670954637779282,1477,0.21463815789473684,9.317877152211915e-06,0.0,0.9435108070592902,0.0,0.0,0.0,0.0,6.258343900493806,0.48507481330258995,-1.1833960295756603,-0.32716305613430496,5.522497143305217,0.05263157894736842,0.0,0.0,0.8,1.9904115196314203,0.22078738751233434,-0.9857530763952873,1,1,0
1bH6fo1Qq5E,2025-10-27 00:00:00+00:00,95,5,97,0.05,100,0.05263157894736842,0.0,0.0,0.8,135.50030750272612,0.15672080075370673,0.00044179112325043224,0.0,0.22078738751233434,-0.17143619493127182,-0.9857530763952873,1.9904115196314203,0.8703813748598168,0.08,0.0,0.0,0.5,1.7710861820968835,-0.0319255989128025,-0.5722371859426227,1,1,0
1bH6fo1Qq5E,2025-10-28 00:00:00+00:00,25,2,25,0.07407407407407407,27,0.08,0.0,0.0,0.5,122.53162856993292,0.14377308442488979,0.00038338271428121565,0.0,-0.0319255989128025,-0.0530946595273254,-0.5722371859426227,1.7710861820968835,0.4327792751271877,0.2222222222222222,0.0003764351590438547,0.0,0.5,1.5767246359736187,0.21368857215440332,-0.5653540688612116,0,0,0
1bH6fo1Qq5E,2025-10-29 00:00:00+00:00,18,4,21,0.18181818181818182,22,0.2222222222222222,0.0003764351590438547,0.0,0.5,111.56298669361627,0.1260495678140605,0.00034181296722529507,0.0,0.21368857215440332,0.5135152292995311,-0.5653540688612116,1.5767246359736187,0.787562150641514,0.6666666666666666,0.016666666666666666,0.0,0.0,1.6685491095805645,0.9755071270099334,0.4217059735912956,0,0,0
