video_id,n_comments,n_replies,reply_ratio,span_days,active_days_30
QNhdXnI8hJQ,4943,194,0.0392474205947805,345,31
mNhK05SjP9c,1894,141,0.07444561774023231,301,31
LLkWtYeGVgA,1958,270,0.13789581205311544,298,31
VNgX75IXRIg,1629,268,0.16451810926949048,215,30
wpcKyur-kbI,378,75,0.1984126984126984,197,30
wOs6kn_8SKs,2095,171,0.08162291169451073,158,31
HVmbMWUhEaw,1615,251,0.15541795665634675,133,31
2kfGs7S1e0U,1310,169,0.12900763358778625,93,31
eFtSxgZbwu4,240,72,0.3,93,22
VGGa-scpPrk,1098,155,0.14116575591985428,81,16
cCDMn01jd30,1687,133,0.07883817427385892,80,27
hrO37SOX05k,216,46,0.21296296296296297,75,24
au2MTlth520,1906,330,0.1731374606505771,68,9
A6hoKAjRpTg,2458,191,0.07770545158665582,49,17
z7TS2vg0Zdo,1713,324,0.18914185639229422,38,18
2DpmeXKZZNo,539,87,0.1614100185528757,30,31
rL7R8Flr19w,1698,205,0.12073027090694935,22,11
H5mVkoM54Ec,324,97,0.2993827160493827,21,9
BcUsvMTuyH8,1625,288,0.17723076923076922,17,12
1bH6fo1Qq5E,1514,333,0.21994715984147953,10,10
QroJC82FVyc,534,130,0.24344569288389514,9,9
xVe6XGdctOs,1664,311,0.18689903846153846,7,8
ejFhMMPrxcI,474,182,0.38396624472573837,7,8
