video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,Ugyj3mgCDV8gG1Uw8-Z4AaABAg.APkCa_nB1TuAPkGE1oheuK,Ugyj3mgCDV8gG1Uw8-Z4AaABAg,@SageRunningfox12345,UCbtSDYVjGuWbeSeiXzEUFLg,Aye what about critters in those poisonous oaks in Alton IL. Hopi Owl Medicine to you grandma hope you could stop basing the attack of your grandson maybe next time don’t feel inspired enough from a PlayStation 2 game called silent hill 2 and suffocate your god damned Native American grandchild.,en,2025-11-20T11:58:04Z,2025-11-20 06:58:04,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,Ugyj3mgCDV8gG1Uw8-Z4AaABAg.APkCa_nB1TuAPkGKOgd7dT,Ugyj3mgCDV8gG1Uw8-Z4AaABAg,@SageRunningfox12345,UCbtSDYVjGuWbeSeiXzEUFLg,Oh fiddlesticks she’ll say to this day,en,2025-11-20T11:58:56Z,2025-11-20 06:58:56,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,UgzWjKrjhQZxYkhlEUJ4AaABAg.AP2XBjVPJwxAP2XJuKWFUy,UgzWjKrjhQZxYkhlEUJ4AaABAg,@joaquinaramayo1787,UCBnCwdMKpXeJBHZWjm-c9GA,hola todos del mundo fans necesitamos más temporadas de la familia addams y la academia nunca mas todos los días todos los años y muchos mas todos los días todos los años todos los años todos los días todos los años todos los días y muchos mas temporadas de la familia addams y la academia nunca mas todos los años todos los días saludos a todos del mundo fans soy el nuevo rey del todos del mundo el lider fans de la familia addams y la academia nunca mas aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider de la familia addams y la academia nunca mas aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider tim burton películas y series aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider la familia addams y la academia nunca mas aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider todos del mundo aramayo luciano joaquin ariel saludos a todos del mundo,es,2025-11-03T03:01:36Z,2025-11-02 22:01:36,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,UgzWjKrjhQZxYkhlEUJ4AaABAg.AP2XBjVPJwxAP2XWzQ2HgM,UgzWjKrjhQZxYkhlEUJ4AaABAg,@joaquinaramayo1787,UCBnCwdMKpXeJBHZWjm-c9GA,helllo worldwide fans the family addams and nevermore academy we need more seasons the family addams and nevermore academy netflix please come to me now invite me now greetings for worldwide im the new king from worldwide fans the family addams and nevermore academy netflix the leader fans aramayo luciano joaquin ariel and more the new king from worldwide fans netflix the family addams and nevermore academy fans the new leader fans the family addams and nevermore academy aramayo luciano joaquin ariel and more the king from worldwide fans netflix the family addams and nevermore academy aramayo luciano joaquin ariel greetings from worldwide fans,en,2025-11-03T03:03:22Z,2025-11-02 22:03:22,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,UgzWjKrjhQZxYkhlEUJ4AaABAg.AP2XBjVPJwxAP2XbXQr9nk,UgzWjKrjhQZxYkhlEUJ4AaABAg,@joaquinaramayo1787,UCBnCwdMKpXeJBHZWjm-c9GA,helllo worldwide fans the family addams and nevermore academy we need more seasons the family addams and nevermore academy netflix please come to me now invite me now greetings for worldwide im the new king from worldwide fans the family addams and nevermore academy netflix the leader fans aramayo luciano joaquin ariel and more the new king from worldwide fans netflix the family addams and nevermore academy fans the new leader fans the family addams and nevermore academy aramayo luciano joaquin ariel and more the king from worldwide fans netflix the family addams and nevermore academy aramayo luciano joaquin ariel greetings from worldwide fans,en,2025-11-03T03:04:08Z,2025-11-02 22:04:08,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,UgzWjKrjhQZxYkhlEUJ4AaABAg.AP2XBjVPJwxAP2Xgawpd3T,UgzWjKrjhQZxYkhlEUJ4AaABAg,@joaquinaramayo1787,UCBnCwdMKpXeJBHZWjm-c9GA,hola todos del mundo fans necesitamos más temporadas de la familia addams y la academia nunca mas todos los días todos los años y muchos mas temporadas de la familia addams y la academia nunca mas todos los años todos los días saludos a todos del mundo fans soy el nuevo rey del todos del mundo el lider fans de la familia addams y la academia nunca mas aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider de la familia addams y la academia nunca mas aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider tim burton películas y series aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider la familia addams y la academia nunca mas aramayo luciano joaquin ariel y muchos mas el nuevo rey del todos del mundo fans el lider todos del mundo aramayo luciano joaquin ariel saludos a todos del mundo,es,2025-11-03T03:04:50Z,2025-11-02 22:04:50,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,Ugy1nL8KzXyTCpEgqzZ4AaABAg.AOzlHOOYIeaAP-cT4OBbJh,Ugy1nL8KzXyTCpEgqzZ4AaABAg,@J7nty,UCvgLUIGo7UI2KsuStVueYJQ,No,es,2025-11-01T23:57:33Z,2025-11-01 19:57:33,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,Ugy1nL8KzXyTCpEgqzZ4AaABAg.AOzlHOOYIeaAP0FTIl_GoD,Ugy1nL8KzXyTCpEgqzZ4AaABAg,@mr.whatsit001,UCuqgc4a-L7muoSkUvgSNbpg,Yes,en,2025-11-02T05:47:06Z,2025-11-02 01:47:06,4
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,Ugzp1XoCWo-bcL6OaYh4AaABAg.AOfWHDLhDB_APlFDJcG9Mo,Ugzp1XoCWo-bcL6OaYh4AaABAg,@Guesswhay,UCuhIyEV7pfxTWEHjMgFj44Q,Woke means to be aware of injustice dumbass,en,2025-11-20T21:08:28Z,2025-11-20 16:08:28,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,UgwJjdbb5SfQyyoodGh4AaABAg.AOLVlxNAPl0AOl18PxTchB,UgwJjdbb5SfQyyoodGh4AaABAg,@VedanshBhatt-j7u5b,UCQF1GBiTrhcAVrEI5L7mmYw,What lesbian women? Who are you on about???? Enid? WHO does bro think he is🥀🥀🥀,en,2025-10-26T22:34:05Z,2025-10-26 18:34:05,0
03u4xyj0TH4,Wednesday: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-09T12:58:06Z,Ugy4T1dbgN3IKBgWGdx4AaABAg.ANYdxruxIApAP0FhrtCz_k,Ugy4T1dbgN3IKBgWGdx4AaABAg,@mr.whatsit001,UCuqgc4a-L7muoSkUvgSNbpg,Boa of woa,sm,2025-11-02T05:49:14Z,2025-11-02 01:49:14,0
